Class,subClass,concept_id,concept_name,concept_label,concept_index,attribute_concept_id,attribute_concept_name,modifier_concept_id,modifier_concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,concept_symbol,concept_units,original_request,concept_group
CANCER CLINICAL PERFORMANCE,ICDO3_Behavior,44498003,"8000/9 Neoplasm, malignant, uncertain whether primary or metastatic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER GRADES,CNS_Tumors,35934827,NA,Grade I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER GRADES,CNS_Tumors,35927879,NA,Grade II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER GRADES,CNS_Tumors,35938080,NA,Grade III,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER GRADES,CNS_Tumors,35933027,NA,Grade IV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER GRADES,CNS_Tumors,35938517,NA,No histologic examination of primary site,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER GRADES,CNS_Tumors,35912113,NA,Not applicable: Information not collected for this case,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER GRADES,CNS_Tumors,35912003,NA,Not documented in medical record or Unknown; WHO grade not stated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,AnnArbor_HodgkinLymphoma,4129913,NA,Stage IA: single lymph node (LN) or local extralymphatic spread with no systemic symptoms,1,4115001,Ann Arbor Hodgkin's disease tumor staging system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,AnnArbor_HodgkinLymphoma,4130411,NA,"Stage IB: single lymph node (LN) or local extralymphatic spread with sustained fever (> 38C), > 10% weight loss over 6 months, night sweats",2,4115001,Ann Arbor Hodgkin's disease tumor staging system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,AnnArbor_HodgkinLymphoma,4127501,NA,Stage IIA: two or more LN on the same side of the diaphragm with no systemic symptoms,3,4115001,Ann Arbor Hodgkin's disease tumor staging system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,AnnArbor_HodgkinLymphoma,4128450,NA,"Stage IIB: two or more LN on the same side of the diaphragm with sustained fever (> 38C), > 10% weight loss over 6 months, night sweats",4,4115001,Ann Arbor Hodgkin's disease tumor staging system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,AnnArbor_HodgkinLymphoma,4128456,NA,Stage IIIA: LN on both sides of diaphragm with no systemic symptoms,5,4115001,Ann Arbor Hodgkin's disease tumor staging system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,AnnArbor_HodgkinLymphoma,4129914,NA,"Stage IIIB: LN on both sides of diaphragm with sustained fever (> 38C), > 10% weight loss over 6 months, night sweats",6,4115001,Ann Arbor Hodgkin's disease tumor staging system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,AnnArbor_HodgkinLymphoma,4129915,NA,Stage IVA: diffuse/disseminated spread with involvement of one or more extra-lymphatic organs with no systemic symptoms,7,4115001,Ann Arbor Hodgkin's disease tumor staging system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,AnnArbor_HodgkinLymphoma,4130412,NA,"Stage IVB: diffuse/disseminated spread with involvement of one or more extra-lymphatic organs with sustained fever (> 38C), > 10% weight loss over 6 months, night sweats",8,4115001,Ann Arbor Hodgkin's disease tumor staging system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,AnnArbor_HodgkinLymphoma,4121054,NA,Stage I: single lymph node (LN) or local extralymphatic spread with unknown systemic symptoms,9,4115001,Ann Arbor Hodgkin's disease tumor staging system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,AnnArbor_HodgkinLymphoma,4106768,NA,Stage II: two or more LN on the same side of the diaphragm with unknown systemic symptoms,10,4115001,Ann Arbor Hodgkin's disease tumor staging system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,AnnArbor_HodgkinLymphoma,4121176,NA,Stage III: LN on both sides of diaphragm with unknown systemic symptoms,11,4115001,Ann Arbor Hodgkin's disease tumor staging system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,AnnArbor_HodgkinLymphoma,4123017,NA,Stage IV: diffuse/disseminated spread with involvement of one or more extra-lymphatic organs with unknown systemic symptoms,12,4115001,Ann Arbor Hodgkin's disease tumor staging system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,Lugano_NonHodgkinLymphoma,764839,NA,Stage I: One node or a group of adjacent nodes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,Lugano_NonHodgkinLymphoma,4231456,NA,Stage IE: Single extranodal lesions without nodal involvement,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,Lugano_NonHodgkinLymphoma,765741,NA,Stage II: Two or more nodal groups on the same side of the diaphragm,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,Lugano_NonHodgkinLymphoma,4211544,NA,Stage IIE: Stage I or II by nodal extent with limited contiguous extranodal involvement,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,Lugano_NonHodgkinLymphoma,765741,NA,"Stage II bulky: Two or more nodal groups on the same side of the diaphragm with ""bulky"" disease",5,NA,NA,4128109,Bulky disease status,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,Lugano_NonHodgkinLymphoma,765717,NA,Stage III: Nodes on both sides of the diaphragm; nodes above the diaphragm with spleen involvement,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,Lugano_NonHodgkinLymphoma,764840,NA,Stage IV: Additional noncontiguous extralymphatic involvement,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919047,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919890,0a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919191,0is,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919625,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919230,IA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919204,IA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919323,IA2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919208,IB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919537,IB1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919732,IB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919239,IC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919572,II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919193,IIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919288,IIA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919772,IIA2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919878,IIB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919676,IIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919065,III,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919029,IIIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919093,IIIB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919810,IIIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919580,IIIC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919535,IIIC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919378,IS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919243,IV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919361,IVA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919636,IVA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919400,IVA2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919828,IVB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919592,IVC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35910053,Not applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919521,Occult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Clinical_Stage,35919835,Stage Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919331,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919511,0a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919695,0is,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919088,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919551,IA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919086,IA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919662,IA2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919295,IB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919560,IB1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919075,IB2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919522,IC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919571,II,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919467,IIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919723,IIA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919280,IIA2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919249,IIB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919776,IIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919110,III,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919887,IIIA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919866,IIIB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919761,IIIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919469,IIIC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919707,IIIC2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919468,IS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919447,IV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919154,IVA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919875,IVA1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919649,IVA2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919532,IVB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919421,IVC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35909917,Not applicable,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919901,Occult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER STAGES,NAACCR_Path_Stage,35919533,Stage Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567461,C00 Malignant neoplasm of lip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206047,C00.0 Malignant neoplasm of external upper lip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206048,C00.1 Malignant neoplasm of external lower lip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206049,"C00.2 Malignant neoplasm of external lip, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206050,"C00.3 Malignant neoplasm of upper lip, inner aspect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206051,"C00.4 Malignant neoplasm of lower lip, inner aspect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206052,"C00.5 Malignant neoplasm of lip, unspecified, inner aspect",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206053,"C00.6 Malignant neoplasm of commissure of lip, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206054,C00.8 Malignant neoplasm of overlapping sites of lip,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206055,"C00.9 Malignant neoplasm of lip, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206056,C01 Malignant neoplasm of base of tongue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567462,C02 Malignant neoplasm of other and unspecified parts of tongue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206057,C02.0 Malignant neoplasm of dorsal surface of tongue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206058,C02.1 Malignant neoplasm of border of tongue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206059,C02.2 Malignant neoplasm of ventral surface of tongue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206060,"C02.3 Malignant neoplasm of anterior two-thirds of tongue, part unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206061,C02.4 Malignant neoplasm of lingual tonsil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206062,C02.8 Malignant neoplasm of overlapping sites of tongue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206063,"C02.9 Malignant neoplasm of tongue, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567463,C03 Malignant neoplasm of gum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206064,C03.0 Malignant neoplasm of upper gum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206065,C03.1 Malignant neoplasm of lower gum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206066,"C03.9 Malignant neoplasm of gum, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567464,C04 Malignant neoplasm of floor of mouth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206067,C04.0 Malignant neoplasm of anterior floor of mouth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206068,C04.1 Malignant neoplasm of lateral floor of mouth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206069,C04.8 Malignant neoplasm of overlapping sites of floor of mouth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206070,"C04.9 Malignant neoplasm of floor of mouth, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567465,C05 Malignant neoplasm of palate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206071,C05.0 Malignant neoplasm of hard palate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206072,C05.1 Malignant neoplasm of soft palate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206073,C05.2 Malignant neoplasm of uvula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206074,C05.8 Malignant neoplasm of overlapping sites of palate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206075,"C05.9 Malignant neoplasm of palate, unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,1567466,C06 Malignant neoplasm of other and unspecified parts of mouth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206076,C06.0 Malignant neoplasm of cheek mucosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CANCER TYPE,ICD10,35206077,C06.1 Malignant neoplasm of vestibule of mouth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
